Store,Day,Month,Year,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Day of the Week
1,13,1,2012," $ 1,459,601.17 ",0,48.53,3.261,219.89,7.348,1/13/2012,Fri
2,13,1,2012," $ 1,744,725.48 ",0,45.99,3.261,219.53,7.057,1/13/2012,Fri
3,13,1,2012," $ 367,438.62 ",0,51.86,3.261,223.38,6.833,1/13/2012,Fri
4,13,1,2012," $ 1,941,676.61 ",0,34.41,3.263,130.24,4.607,1/13/2012,Fri
5,13,1,2012," $ 291,454.52 ",0,48.86,3.261,220.48,5.943,1/13/2012,Fri
6,13,1,2012," $ 1,344,243.17 ",0,48.33,3.261,221.49,6.132,1/13/2012,Fri
7,13,1,2012," $ 593,875.46 ",0,7.46,3.077,196.73,8.256,1/13/2012,Fri
8,13,1,2012," $ 817,661.76 ",0,36.46,3.261,223.42,5.825,1/13/2012,Fri
9,13,1,2012," $ 474,964.60 ",0,42.44,3.261,223.62,5.667,1/13/2012,Fri
10,13,1,2012," $ 1,711,562.73 ",0,51,3.477,130.24,7.545,1/13/2012,Fri
11,13,1,2012," $ 1,264,736.59 ",0,53.1,3.261,223.38,6.833,1/13/2012,Fri
12,13,1,2012," $ 865,467.86 ",0,48.07,3.657,130.24,12.187,1/13/2012,Fri
13,13,1,2012," $ 1,794,962.64 ",0,25.61,3.056,130.24,6.104,1/13/2012,Fri
14,13,1,2012," $ 1,696,248.27 ",0,41.18,3.513,189.33,8.424,1/13/2012,Fri
15,13,1,2012," $ 454,183.42 ",0,36.26,3.666,136.75,7.943,1/13/2012,Fri
16,13,1,2012," $ 508,520.09 ",0,19.55,3.077,196.73,6.162,1/13/2012,Fri
17,13,1,2012," $ 873,576.96 ",0,20.28,3.056,130.24,6.403,1/13/2012,Fri
18,13,1,2012," $ 890,130.25 ",0,35.25,3.523,136.75,8.075,1/13/2012,Fri
19,13,1,2012," $ 1,182,198.70 ",0,37.08,3.666,136.75,7.943,1/13/2012,Fri
20,13,1,2012," $ 1,911,510.64 ",0,37.79,3.513,212.74,6.961,1/13/2012,Fri
21,13,1,2012," $ 631,181.25 ",0,45,3.261,219.53,7.057,1/13/2012,Fri
22,13,1,2012," $ 855,437.57 ",0,39,3.523,140.70,7.503,1/13/2012,Fri
23,13,1,2012," $ 1,031,451.35 ",0,28.49,3.523,136.75,4.261,1/13/2012,Fri
24,13,1,2012," $ 1,155,594.20 ",0,36.5,3.666,136.75,8.659,1/13/2012,Fri
25,13,1,2012," $ 614,764.31 ",0,34.6,3.513,212.74,6.961,1/13/2012,Fri
26,13,1,2012," $ 836,305.65 ",0,25.55,3.523,136.75,7.467,1/13/2012,Fri
27,13,1,2012," $ 1,492,399.13 ",0,41.3,3.666,140.70,8.009,1/13/2012,Fri
28,13,1,2012," $ 1,161,190.29 ",0,48.07,3.657,130.24,12.187,1/13/2012,Fri
29,13,1,2012," $ 444,756.37 ",0,39,3.523,136.75,8.988,1/13/2012,Fri
30,13,1,2012," $ 447,023.91 ",0,45,3.261,219.53,7.057,1/13/2012,Fri
31,13,1,2012," $ 1,377,485.12 ",0,45,3.261,219.53,7.057,1/13/2012,Fri
32,13,1,2012," $ 1,071,598.36 ",0,28.99,3.077,196.73,8.256,1/13/2012,Fri
33,13,1,2012," $ 279,447.22 ",0,54.61,3.477,130.24,7.603,1/13/2012,Fri
34,13,1,2012," $ 913,755.12 ",0,33.99,3.263,130.24,9.653,1/13/2012,Fri
35,13,1,2012," $ 625,135.11 ",0,41.3,3.513,140.70,8.744,1/13/2012,Fri
36,13,1,2012," $ 325,976.34 ",0,56.28,3.254,218.58,7.244,1/13/2012,Fri
37,13,1,2012," $ 546,221.40 ",0,56.28,3.261,218.58,7.244,1/13/2012,Fri
38,13,1,2012," $ 423,260.82 ",0,48.07,3.657,130.24,12.187,1/13/2012,Fri
39,13,1,2012," $ 1,369,125.37 ",0,54.66,3.261,218.58,7.244,1/13/2012,Fri
40,13,1,2012," $ 780,607.52 ",0,25.9,3.523,136.75,4.261,1/13/2012,Fri
41,13,1,2012," $ 1,134,767.28 ",0,27.49,3.077,196.73,6.589,1/13/2012,Fri
42,13,1,2012," $ 664,348.20 ",0,51,3.477,130.24,7.545,1/13/2012,Fri
43,13,1,2012," $ 663,529.64 ",0,43.68,3.261,211.41,9.653,1/13/2012,Fri
44,13,1,2012," $ 312,361.88 ",0,25.61,3.056,130.24,5.774,1/13/2012,Fri
45,13,1,2012," $ 676,615.53 ",0,41.18,3.513,189.33,8.424,1/13/2012,Fri
1,13,4,2012," $ 1,621,031.70 ",0,69.07,3.891,221.51,7.143,4/13/2012,Fri
2,13,4,2012," $ 1,935,869.10 ",0,68.08,3.891,221.15,6.891,4/13/2012,Fri
3,13,4,2012," $ 420,789.74 ",0,72.83,3.891,225.01,6.664,4/13/2012,Fri
4,13,4,2012," $ 2,105,301.39 ",0,68.69,3.881,131.11,4.308,4/13/2012,Fri
5,13,4,2012," $ 351,832.03 ",0,70.56,3.891,222.10,5.801,4/13/2012,Fri
6,13,4,2012," $ 1,616,394.45 ",0,71.29,3.891,223.12,5.964,4/13/2012,Fri
7,13,4,2012," $ 517,420.23 ",0,41.43,3.901,197.78,8.09,4/13/2012,Fri
8,13,4,2012," $ 909,989.45 ",0,65.19,3.891,225.06,5.679,4/13/2012,Fri
9,13,4,2012," $ 578,539.86 ",0,69.19,3.891,225.26,5.539,4/13/2012,Fri
10,13,4,2012," $ 1,974,687.51 ",0,70.28,4.254,131.11,7.382,4/13/2012,Fri
11,13,4,2012," $ 1,472,752.01 ",0,72.74,3.891,225.01,6.664,4/13/2012,Fri
12,13,4,2012," $ 1,083,811.19 ",0,64.28,4.254,131.11,11.627,4/13/2012,Fri
13,13,4,2012," $ 2,057,637.86 ",0,51.7,3.833,131.11,5.965,4/13/2012,Fri
14,13,4,2012," $ 1,912,909.69 ",0,51.83,4.044,190.76,8.567,4/13/2012,Fri
15,13,4,2012," $ 558,585.13 ",0,43.52,4.187,137.87,8.15,4/13/2012,Fri
16,13,4,2012," $ 450,756.71 ",0,45.83,3.901,197.78,6.169,4/13/2012,Fri
17,13,4,2012," $ 877,055.32 ",0,46.94,3.833,131.11,6.235,4/13/2012,Fri
18,13,4,2012," $ 998,443.50 ",0,47.75,4.025,137.87,8.304,4/13/2012,Fri
19,13,4,2012," $ 1,365,098.46 ",0,44.42,4.187,137.87,8.15,4/13/2012,Fri
20,13,4,2012," $ 2,045,396.06 ",0,45.68,4.044,214.31,7.139,4/13/2012,Fri
21,13,4,2012," $ 769,319.04 ",0,69.03,3.891,221.15,6.891,4/13/2012,Fri
22,13,4,2012," $ 939,118.24 ",0,49.89,4.025,141.84,7.671,4/13/2012,Fri
23,13,4,2012," $ 1,231,752.54 ",0,41.81,4.025,137.87,4.125,4/13/2012,Fri
24,13,4,2012," $ 1,285,783.87 ",0,48.65,4.187,137.87,8.983,4/13/2012,Fri
25,13,4,2012," $ 658,691.56 ",0,42.46,4.044,214.31,7.139,4/13/2012,Fri
26,13,4,2012," $ 889,670.29 ",0,36.9,4.025,137.87,7.489,4/13/2012,Fri
27,13,4,2012," $ 1,650,405.21 ",0,52.22,4.187,141.84,8.253,4/13/2012,Fri
28,13,4,2012," $ 1,290,684.95 ",0,64.28,4.254,131.11,11.627,4/13/2012,Fri
29,13,4,2012," $ 520,493.83 ",0,49.89,4.025,137.87,9.14,4/13/2012,Fri
30,13,4,2012," $ 428,784.70 ",0,69.03,3.891,221.15,6.891,4/13/2012,Fri
31,13,4,2012," $ 1,407,842.91 ",0,69.03,3.891,221.15,6.891,4/13/2012,Fri
32,13,4,2012," $ 1,171,834.47 ",0,52.1,3.901,197.78,8.09,4/13/2012,Fri
33,13,4,2012," $ 312,698.67 ",0,73.17,4.254,131.11,7.396,4/13/2012,Fri
34,13,4,2012," $ 987,353.65 ",0,59.12,3.881,131.11,9.575,4/13/2012,Fri
35,13,4,2012," $ 788,633.42 ",0,52.22,4.044,141.84,8.876,4/13/2012,Fri
36,13,4,2012," $ 339,407.94 ",0,72.54,3.919,220.20,6.989,4/13/2012,Fri
37,13,4,2012," $ 506,973.17 ",0,72.54,3.891,220.20,6.989,4/13/2012,Fri
38,13,4,2012," $ 435,790.74 ",0,64.28,4.254,131.11,11.627,4/13/2012,Fri
39,13,4,2012," $ 1,580,732.73 ",0,71.59,3.891,220.20,6.989,4/13/2012,Fri
40,13,4,2012," $ 857,811.17 ",0,40.65,4.025,137.87,4.125,4/13/2012,Fri
41,13,4,2012," $ 1,323,004.73 ",0,46.84,3.901,197.78,6.547,4/13/2012,Fri
42,13,4,2012," $ 639,123.45 ",0,70.28,4.254,131.11,7.382,4/13/2012,Fri
43,13,4,2012," $ 665,687.92 ",0,70.18,3.891,212.96,9.575,4/13/2012,Fri
44,13,4,2012," $ 311,390.22 ",0,51.7,3.833,131.11,5.621,4/13/2012,Fri
45,13,4,2012," $ 781,970.60 ",0,51.83,4.044,190.76,8.567,4/13/2012,Fri
1,13,5,2011," $ 1,604,775.58 ",0,75.64,3.899,215.96,7.682,5/13/2011,Fri
2,13,5,2011," $ 1,838,513.07 ",0,74.61,3.899,215.61,7.931,5/13/2011,Fri
3,13,5,2011," $ 386,312.68 ",0,79.87,3.899,219.37,7.574,5/13/2011,Fri
4,13,5,2011," $ 2,002,362.37 ",0,70.65,3.872,129.09,5.946,5/13/2011,Fri
5,13,5,2011," $ 290,930.01 ",0,77.38,3.899,216.53,6.489,5/13/2011,Fri
6,13,5,2011," $ 1,453,185.65 ",0,76.95,3.899,217.52,6.855,5/13/2011,Fri
7,13,5,2011," $ 414,094.05 ",0,36.61,3.767,192.83,8.595,5/13/2011,Fri
8,13,5,2011," $ 895,763.41 ",0,72.96,3.899,219.42,6.297,5/13/2011,Fri
9,13,5,2011," $ 539,126.00 ",0,77.66,3.899,219.60,6.38,5/13/2011,Fri
10,13,5,2011," $ 1,712,995.44 ",0,74.04,4.202,129.09,8.494,5/13/2011,Fri
11,13,5,2011," $ 1,277,959.42 ",0,80.93,3.899,219.37,7.574,5/13/2011,Fri
12,13,5,2011," $ 977,033.50 ",0,70.93,4.202,129.09,13.736,5/13/2011,Fri
13,13,5,2011," $ 1,958,823.56 ",0,52.4,3.77,129.09,7.193,5/13/2011,Fri
14,13,5,2011," $ 2,004,330.30 ",0,60.38,4.066,186.07,8.521,5/13/2011,Fri
15,13,5,2011," $ 630,482.91 ",0,57.07,4.211,134.59,7.658,5/13/2011,Fri
16,13,5,2011," $ 410,406.95 ",0,43.29,3.767,192.83,6.339,5/13/2011,Fri
17,13,5,2011," $ 870,625.49 ",0,49.26,3.77,129.09,6.774,5/13/2011,Fri
18,13,5,2011," $ 993,172.98 ",0,58.48,4.095,134.59,8.975,5/13/2011,Fri
19,13,5,2011," $ 1,429,143.06 ",0,54.2,4.211,134.59,7.658,5/13/2011,Fri
20,13,5,2011," $ 2,036,748.53 ",0,62.26,4.066,208.96,7.287,5/13/2011,Fri
21,13,5,2011," $ 754,236.70 ",0,75.04,3.899,215.61,7.931,5/13/2011,Fri
22,13,5,2011," $ 1,001,558.74 ",0,57.71,4.095,138.50,8.252,5/13/2011,Fri
23,13,5,2011," $ 1,254,914.87 ",0,55.12,4.095,134.59,4.781,5/13/2011,Fri
24,13,5,2011," $ 1,311,950.16 ",0,58.49,4.211,134.59,8.212,5/13/2011,Fri
25,13,5,2011," $ 684,783.15 ",0,60.1,4.066,208.96,7.287,5/13/2011,Fri
26,13,5,2011," $ 941,008.85 ",0,48.2,4.095,134.59,7.818,5/13/2011,Fri
27,13,5,2011," $ 1,763,545.32 ",0,60.07,4.211,138.50,7.725,5/13/2011,Fri
28,13,5,2011," $ 1,253,316.30 ",0,70.93,4.202,129.09,13.736,5/13/2011,Fri
29,13,5,2011," $ 549,551.02 ",0,57.71,4.095,134.59,9.966,5/13/2011,Fri
30,13,5,2011," $ 424,614.59 ",0,75.04,3.899,215.61,7.931,5/13/2011,Fri
